name,I size,L size,S size,model time,best obj,best bound,gap %,status,total time,iteration
Instance_500_16_,500,16,50,9.090971231,7.5275,7.5365,0.119561607,2,311.219399,V2 BLS
Instance_500_16_,500,16,50,8.750279903,7.5335,7.5375,0.05309617,2,444.9282408,V2 BLS
Instance_500_16_,500,16,50,8.296941996,7.5395,7.5435,0.053053916,2,1021.667462,V2 BLS
Instance_500_16_,500,16,50,8.697931051,7.5395,7.5445,0.066317395,2,1595.725159,V2 BLS
Instance_500_16_,500,16,50,8.805729151,7.5415,7.547,0.072929789,2,1605.37359,V2 BLS
Instance_500_16_,500,16,50,8.708793163,7.5475,7.556,0.112620073,2,1931.038114,V2 BLS
Instance_500_16_,500,16,50,8.811310768,7.5485,7.5495,0.013247665,2,3021.701336,V2 BLS
Instance_500_16_,500,16,100,17.75242305,7.44245,7.443022222,0.007688627,2,18.73294711,0
Instance_500_16_,500,16,100,18.25297713,7.4555,7.4564,0.012071625,2,38.58919096,V2 BLS
Instance_500_16_,500,16,100,18.58673096,7.45585,7.45685,0.013412287,2,174.6429482,V2 BLS
Instance_500_16_,500,16,100,18.0101943,7.45945,7.46155,0.02815221,2,776.1933141,V2 BLS
Instance_500_16_,500,16,150,28.73601484,7.507400003,7.508370114,0.012922063,2,30.22612619,0
Instance_500_16_,500,16,150,30.083534,7.536500001,7.537730162,0.016322708,2,62.73002005,V2 BLS
Instance_500_16_,500,16,150,29.98795104,7.537677778,7.538328877,0.00863793,2,472.9961092,V2 BLS
Instance_500_16_,500,16,150,29.03512502,7.542911113,7.544553519,0.021774165,2,1457.75655,V2 BLS
Instance_500_16_,500,16,150,32.23098111,7.544566667,7.54509838,0.007047637,2,1998.45881,V2 BLS
Instance_500_16_,500,16,200,41.99110508,8.12215,8.122750003,0.007387246,2,47.97267699,0
Instance_500_16_,500,16,200,41.69901109,8.1418,8.1426,0.009825837,2,93.55522394,V2 BLS
Instance_500_16_,500,16,200,40.85590124,8.14245,8.14315,0.008596921,2,1448.695011,V2 BLS
Instance_500_16_,500,16,200,40.40719104,8.1425,8.1432,0.008596868,2,1743.648049,V2 BLS
Instance_500_50_,500,50,10,3.975449085,9.2465,9.263768227,0.186754203,2,5.31772995,0
