Elapsed time: 7.436271905899048
OnTime_1 8 2 137 0
OnTime_1 8 1 145 0
OnTime_1 8 2 145 0
OnTime_1 8 1 146 0
OnTime_1 8 2 146 0
OnTime_1 8 1 164 0
OnTime_1 8 2 164 0
OnTime_1 8 1 173 0
OnTime_1 8 2 173 0
OnTime_1 8 1 174 0
OnTime_1 8 2 174 0
OnTime_1 8 1 175 0
OnTime_1 8 2 175 0
OnTime_1 8 1 176 0
OnTime_1 8 2 176 0
OnTime_1 8 1 177 0
OnTime_1 8 2 177 0
OnTime_1 8 1 179 0
OnTime_1 8 2 179 0
OnTime_1 8 1 183 0
OnTime_1 8 2 183 0
OnTime_1 8 1 186 0
OnTime_1 8 2 186 0
OnTime_1 8 1 187 0
OnTime_1 8 2 187 0
OnTime_1 8 1 188 0
OnTime_1 8 2 188 0
OnTime_1 8 1 190 0
OnTime_1 8 2 190 0
OnTime_1 8 1 198 0
OnTime_1 8 2 198 0
OnTime_1 8 1 209 0
OnTime_1 8 2 209 0
OnTime_1 9 1 63 0
OnTime_1 9 2 63 0
OnTime_1 9 1 66 0
OnTime_1 9 2 66 0
OnTime_1 9 1 67 0
OnTime_1 9 2 67 0
OnTime_1 9 1 72 0
OnTime_1 9 2 72 0
OnTime_1 9 1 75 0
OnTime_1 9 2 75 0
OnTime_1 9 1 86 0
OnTime_1 9 2 86 0
OnTime_1 9 1 88 0
OnTime_1 9 2 88 0
OnTime_1 9 1 95 0
OnTime_1 9 2 95 0
OnTime_1 9 1 121 0
OnTime_1 9 2 121 0
OnTime_1 9 1 123 0
OnTime_1 9 2 123 0
OnTime_1 9 1 124 0
OnTime_1 9 2 124 0
OnTime_1 9 1 128 0
OnTime_1 9 2 128 0
OnTime_1 9 1 129 0
OnTime_1 9 2 129 0
OnTime_1 9 1 130 0
OnTime_1 9 2 130 0
OnTime_1 9 1 137 0
OnTime_1 9 2 137 0
OnTime_1 9 1 145 0
OnTime_1 9 2 145 0
OnTime_1 9 1 146 0
OnTime_1 9 2 146 0
OnTime_1 9 1 164 0
OnTime_1 9 2 164 0
OnTime_1 9 1 173 0
OnTime_1 9 2 173 0
OnTime_1 9 1 174 0
OnTime_1 9 2 174 0
OnTime_1 9 1 175 0
OnTime_1 9 2 175 0
OnTime_1 9 1 176 0
OnTime_1 9 2 176 0
OnTime_1 9 1 177 0
OnTime_1 9 2 177 0
OnTime_1 9 1 179 0
OnTime_1 9 2 179 0
OnTime_1 9 1 183 0
OnTime_1 9 2 183 0
OnTime_1 9 1 186 0
OnTime_1 9 2 186 0
OnTime_1 9 1 187 0
OnTime_1 9 2 187 0
OnTime_1 9 1 188 0
OnTime_1 9 2 188 0
OnTime_1 9 1 190 0
OnTime_1 9 2 190 0
OnTime_1 9 1 198 0
OnTime_1 9 2 198 0
OnTime_1 9 1 209 0
OnTime_1 9 2 209 0
OnTime_1 10 1 63 0
OnTime_1 10 2 63 0
OnTime_1 10 1 66 0
OnTime_1 10 2 66 0
OnTime_1 10 1 67 0
OnTime_1 10 2 67 0
OnTime_1 10 1 72 0
OnTime_1 10 2 72 0
OnTime_1 10 1 75 0
OnTime_1 10 2 75 0
OnTime_1 10 1 86 0
OnTime_1 10 2 86 0
OnTime_1 10 1 88 0
OnTime_1 10 2 88 0
OnTime_1 10 1 95 0
OnTime_1 10 2 95 0
OnTime_1 10 1 121 1
OnTime_1 10 2 121 1
OnTime_1 10 1 123 0
OnTime_1 10 2 123 0
OnTime_1 10 1 124 0
OnTime_1 10 2 124 0
OnTime_1 10 1 128 0
OnTime_1 10 2 128 0
OnTime_1 10 1 129 0
OnTime_1 10 2 129 0
OnTime_1 10 1 130 0
OnTime_1 10 2 130 0
OnTime_1 10 1 137 0
OnTime_1 10 2 137 0
OnTime_1 10 1 145 0
OnTime_1 10 2 145 0
OnTime_1 10 1 146 0
OnTime_1 10 2 146 0
OnTime_1 10 1 164 0
OnTime_1 10 2 164 0
OnTime_1 10 1 173 0
OnTime_1 10 2 173 0
OnTime_1 10 1 174 0
OnTime_1 10 2 174 0
OnTime_1 10 1 175 0
OnTime_1 10 2 175 0
OnTime_1 10 1 176 0
OnTime_1 10 2 176 0
OnTime_1 10 1 177 0
OnTime_1 10 2 177 0
OnTime_1 10 1 179 0
OnTime_1 10 2 179 0
OnTime_1 10 1 183 0
OnTime_1 10 2 183 0
OnTime_1 10 1 186 0
OnTime_1 10 2 186 0
OnTime_1 10 1 187 0
OnTime_1 10 2 187 0
OnTime_1 10 1 188 0
OnTime_1 10 2 188 0
OnTime_1 10 1 190 0
OnTime_1 10 2 190 0
OnTime_1 10 1 198 -0
OnTime_1 10 2 198 0
OnTime_1 10 1 209 0
OnTime_1 10 2 209 0
OnTime_1 11 1 63 0
OnTime_1 11 2 63 0
OnTime_1 11 1 66 0
OnTime_1 11 2 66 0
OnTime_1 11 1 67 0
OnTime_1 11 2 67 0
OnTime_1 11 1 72 0
OnTime_1 11 2 72 0
OnTime_1 11 1 75 0
OnTime_1 11 2 75 0
OnTime_1 11 1 86 0
OnTime_1 11 2 86 0
OnTime_1 11 1 88 0
OnTime_1 11 2 88 0
OnTime_1 11 1 95 -0
OnTime_1 11 2 95 1
OnTime_1 11 1 121 0
OnTime_1 11 2 121 0
OnTime_1 11 1 123 0
OnTime_1 11 2 123 0
OnTime_1 11 1 124 0
OnTime_1 11 2 124 0
OnTime_1 11 1 128 0
OnTime_1 11 2 128 0
OnTime_1 11 1 129 0
OnTime_1 11 2 129 0
