mejoró 1.6305  GRASP
no mejoró 1.815 en initial L 47 con j = 12 localsearch 9LS2
no mejoró 1.897 en initial L 47 con j = 12 localsearch 9LS3
no mejoró 1.815 en initial L 47 con j = 13 localsearch 9LS1
no mejoró 1.8765 en initial L 47 con j = 14 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 15 localsearch 9LS1
no mejoró 1.856 en initial L 47 con j = 16 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 17 localsearch 9LS1
no mejoró 1.8765 en initial L 47 con j = 18 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 19 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 20 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 21 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 22 localsearch 9LS1
no mejoró 1.856 en initial L 47 con j = 23 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 24 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 25 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 26 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 27 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 28 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 29 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 30 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 31 localsearch 9LS1
no mejoró 1.856 en initial L 47 con j = 32 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 33 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 34 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 35 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 36 localsearch 9LS1
no mejoró 1.856 en initial L 47 con j = 37 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 38 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 39 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 40 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 41 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 42 localsearch 9LS2
no mejoró 1.897 en initial L 47 con j = 42 localsearch 9LS3
no mejoró 1.815 en initial L 47 con j = 43 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 44 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 45 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 46 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 48 localsearch 9LS1
no mejoró 1.815 en initial L 47 con j = 49 localsearch 9LS2
no mejoró 1.897 en initial L 47 con j = 49 localsearch 9LS3
no mejoró 1.815 en initial L 47 con j = 50 localsearch 9LS1
no mejoró 1.8355 en initial L 47 con j = 51 localsearch 9LS2
mejoró 1.9175 en initial L 47 con j = 51 localsearch 9LS3
no mejoró 1.844 en initial L 49 con j = 0 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 0 localsearch 10LS3
no mejoró 1.8645 en initial L 49 con j = 1 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 2 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 3 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 3 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 4 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 5 localsearch 10LS1
no mejoró 1.9055 en initial L 49 con j = 6 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 7 localsearch 10LS1
no mejoró 1.891 en initial L 49 con j = 8 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 9 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 10 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 11 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 12 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 12 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 13 localsearch 10LS1
no mejoró 1.897 en initial L 49 con j = 14 localsearch 10LS1
no mejoró 1.9055 en initial L 49 con j = 15 localsearch 10LS1
no mejoró 1.8765 en initial L 49 con j = 16 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 17 localsearch 10LS1
no mejoró 1.9055 en initial L 49 con j = 18 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 19 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 20 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 21 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 22 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 23 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 24 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 25 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 26 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 27 localsearch 10LS1
no mejoró 1.856 en initial L 49 con j = 28 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 29 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 30 localsearch 10LS1
no mejoró 1.856 en initial L 49 con j = 31 localsearch 10LS1
no mejoró 1.8705 en initial L 49 con j = 32 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 33 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 34 localsearch 10LS1
no mejoró 1.891 en initial L 49 con j = 35 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 36 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 37 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 38 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 39 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 40 localsearch 10LS1
no mejoró 1.885 en initial L 49 con j = 41 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 42 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 42 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 43 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 44 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 45 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 46 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 47 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 47 localsearch 10LS3
no mejoró 1.8645 en initial L 49 con j = 48 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 50 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 51 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 51 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 52 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 52 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 53 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 53 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 54 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 54 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 55 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 56 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 57 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 57 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 58 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 59 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 60 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 61 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 62 localsearch 10LS1
no mejoró 1.844 en initial L 49 con j = 63 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 63 localsearch 10LS3
no mejoró 1.885 en initial L 49 con j = 64 localsearch 10LS1
no mejoró 1.8645 en initial L 49 con j = 65 localsearch 10LS1
no mejoró 1.832 en initial L 49 con j = 66 localsearch 10LS2
no mejoró 1.9175 en initial L 49 con j = 66 localsearch 10LS3
no mejoró 1.844 en initial L 49 con j = 67 localsearch 10LS1
