 Fecha, Hora, Nombre_de_la_Vialidad, Georreferencia,Número,Demanda ,Punto,Proporción
13/01/2022,19:44:00,jalisco,"25.6532767, -100.3148996",,,,
07/01/2022,19:10:00,jardin de babilonia,"25.7156423, -100.3550861",,,,
01/01/2022,20:45:00,jesus urueta,"25.6919997, -100.2851381",,,,
11/01/2022,18:56:00,jimenez,"25.6755384, -100.259645",,,,
31/01/2022,17:24:00,jimenez,"25.6755384, -100.259645",,,,
27/01/2022,17:49:00,jose a conchello,"25.698804, -100.300264",,,,
28/01/2022,17:34:00,jose a conchello,"25.6945537, -100.2977932",,,,
03/01/2022,18:52:00,jose garza ramirez,"25.693635, -100.3770892",,,,
17/01/2022,20:29:00,jose luna ayala,"25.6761089, -100.3587006",,,,
18/01/2022,19:06:00,jose marti,"25.6848756, -100.2824205",,,,
20/01/2022,1899-12-30 00:00:00,jose refugio velazquez,"25.6660258, -100.3047472",,,,
14/01/2022,21:21:00,juan g alvarado,"25.7277403, -100.3414142",,,,
16/01/2022,21:21:00,juan g alvarado,"25.7277403, -100.3414142",,,,
28/01/2022,17:45:00,juan i ramon,"25.6713392, -100.3155804",,,,
04/01/2022,17:12:00,juan mendez,"25.675511, -100.316388",,,,
08/01/2022,16:54:00,juarez,"25.6761698, -100.3144021",,,,
11/01/2022,17:46:00,juarez,"25.6761698, -100.3144021",,,,
24/01/2022,12:44:00,juarez,"25.6761698, -100.3144021",,,,
26/01/2022,17:31:00,juarez,"25.6761698, -100.3144021",,,,
28/01/2022,18:30:00,juarez,"25.6761698, -100.3144021",,,,
01/01/2022,16:19:00,julio a roca,"25.7597813, -100.3604759",,,,
01/01/2022,22:18:00,julio a roca,"25.7489725, -100.3480067",,,,
14/01/2022,21:06:00,julio a roca,"25.7784342, -100.3760115",,,,
16/01/2022,18:44:00,julio a roca,"25.7784342, -100.3760115",,,,
29/01/2022,19:50:00,julio a roca,"25.7784342, -100.3760115",,,,
15/01/2022,22:16:00,junco de la vega,"25.6436698, -100.2811867",,,,
31/01/2022,18:30:00,justiniano,"25.7138217, -100.3852257",,,,
08/01/2022,16:24:00,juventino rosas,"25.6658116, -100.284023",,,,
12/01/2022,19:09:00,juventino rosas,"25.6658779, -100.2948109",,,,
09/01/2022,23:56:00,la alianza,"25.7795934, -100.4045687",,,,
